"Deity","Divine tradition","Element","Potential class name","Proposed playstyle"
"Stuid","Lensbearer","Sul","Lensbearer","Combine broad revelation with precise Clarity forecasts; expose illusions and Aftertones, then identify the spell and target that justify spending your reserve."
"Stuid","Lensbearer","Vel","Root Reader","Use Clarity to identify a favorable sustained fight; invest in growth buffs that last, then adjust positioning as the revealed threats change."
"Stuid","Lensbearer","Luth","Tide Scryer","Reveal the true cost and reliability of a planned spell before restoring the caster's Breath; support efficient casting through informed replenishment."
"Stuid","Lensbearer","Tham","Faultseer","Read hidden resistances and forecast outcomes from a fortified position; shape cover so the party can exploit the revealed weakness safely."
"Stuid","Lensbearer","Vekh","Veilseer","Spend Clarity to inspect the enemy while concealing your own casting signatures; create an information advantage without making yourself equally readable."
"Stuid","Lensbearer","Mozh","Mortuary Sage","Reveal which target is vulnerable to decay and which remains can fuel further casting; turn limited battlefield material into a planned Breath budget."
"Stuid","Lensbearer","Khash","Emberseer","Preview the true outcome before consuming an Aftertone for fire burst; choose the moment when the expected payoff warrants losing the stored effect."
"Stuid","Lensbearer","Zhem","Null Examiner","Identify the enemy effect doing the most work, then cancel it; spend information to make selective silence more valuable than indiscriminate suppression."
"Stuid","Lensbearer","Zhur","Storm Surveyor","Reveal lightning forecasts and hidden defenses before choosing a shock target; plan around Zhur's exemption from the Instability die without assuming every cast succeeds."
"Vhorr","Husk-bearer","Sul","Pale Maw","Expose concealed targets before seeding Hunger; revelation helps the party keep pressure on the actual victims rather than waste attacks on deception."
"Vhorr","Husk-bearer","Vel","Briar Maw","Sustain your own growth-based defenses while Hunger ticks accumulate; win extended engagements by remaining in reach long enough to establish several victims."
"Vhorr","Husk-bearer","Luth","Drownkeeper","Use water to replenish Breath while recurring Hunger wears down soaked enemies; pressure multiple targets without spending your entire casting reserve at once."
"Vhorr","Husk-bearer","Tham","Barrow Maw","Create cover and narrow approaches around Hunger victims; use the terrain to force a choice between pursuing you and abandoning their position."
"Vhorr","Husk-bearer","Vekh","Nightfeeder","Conceal the signatures of the casting that seeds your attrition; keep opponents uncertain about your next target while established Hunger continues ticking."
"Vhorr","Husk-bearer","Mozh","Husk-bearer","Layer decay with Hunger and convert usable corpses or objects into Breath; manage a finite supply of remains while sustained damage produces new openings."
"Vhorr","Husk-bearer","Khash","Cinder Eater","Establish burning victims and Hunger pressure, then choose whether to preserve an Aftertone for the long fight or consume it to finish a target."
"Vhorr","Husk-bearer","Zhem","Empty Vessel","Cancel the buffs that sustain enemy resistance while weapon-seeded Hunger deals damage; silence weakens their setup without adding a damaging Zhem spell."
"Vhorr","Husk-bearer","Zhur","Storm Leech","Use shock pressure to disrupt attempts to escape recurring Hunger; prioritize targets whose continued presence lets damaging ticks accumulate."
"Vicoar","Flamebinder","Sul","Prismwright","Attempt revealing techniques to expose hidden state; a fizzle banks insurance for the next critical disclosure instead of ending your information plan."
"Vicoar","Flamebinder","Vel","Graftwright","Build sustained personal growth buffs through repeated experiments; spend a Failure Token when establishing the next defensive layer matters most."
"Vicoar","Flamebinder","Luth","Flowwright","Restore Breath to keep experimentation affordable; reserve a Failure Token for the water technique that must replenish a pressured caster."
"Vicoar","Flamebinder","Tham","Stonewright","Attempt cover construction where it changes the fight; bank failed casts and guarantee the next stonework when the party needs a reliable position."
"Vicoar","Flamebinder","Vekh","Shadewright","Experiment with concealed casting signatures and obscured setups; use learned failure to guarantee the next concealment before committing to a risky maneuver."
"Vicoar","Flamebinder","Mozh","Salvage Alchemist","Convert expendable battlefield material into Breath for further experiments; bank fizzles and insure the next decay or conversion technique."
"Vicoar","Flamebinder","Khash","Flamebinder","Attempt volatile fire bursts, bank the fizzles, then spend a token before consuming an Aftertone on the cast that must ignite."
"Vicoar","Flamebinder","Zhem","Hushwright","Learn from failed suppression and guarantee a later dispel; specialize in dismantling a dangerous enemy setup on the second attempt."
"Vicoar","Flamebinder","Zhur","Sparkwright","Use lightning's stable Instability behavior while banking any remaining fizzles; spend a token when a shock technique must land its casting check."
"Ofshütje","Stormbearer","Sul","Dawn Herald","Choose an enemy cluster for revelation; a hidden draw selects the secondary exposure benefit, so each revealed opportunity changes the party's next priority."
"Ofshütje","Stormbearer","Vel","Wildbloom","Establish your own growth buffs before casting; the hidden draw determines which eligible buff receives an extra extension, rewarding adaptable rather than fixed rotations."
"Ofshütje","Stormbearer","Luth","Rainstrider","Choose a friendly support area; the hidden draw distributes an additional Breath benefit among eligible allies, rewarding positioning that makes every outcome useful."
"Ofshütje","Stormbearer","Tham","Faultbringer","Choose a contested area where several cover positions would help; a hidden draw selects the secondary stonework, and you adapt the party's formation."
"Ofshütje","Stormbearer","Vekh","Gloam Herald","Choose a friendly area that benefits from concealment; the hidden draw determines which casting signatures receive the strongest obscuring effect."
"Ofshütje","Stormbearer","Mozh","Blight Herald","Apply decay where several enemies are viable follow-up targets; the hidden draw determines the secondary attrition benefit and shifts your finishing priority."
"Ofshütje","Stormbearer","Khash","Wildfire Herald","Choose a fire-safe attack area with several useful outcomes; a hidden draw adds a secondary burning effect within that declared area, requiring fuel awareness."
"Ofshütje","Stormbearer","Zhem","Quiet Front","Choose an enemy group with several active effects; a hidden draw removes an eligible buff or Aftertone, demanding follow-up based on what survives."
"Ofshütje","Stormbearer","Zhur","Stormbearer","Commit lightning into a tactically useful target area; the hidden draw determines the storm's secondary payoff, while Zhur ignores the Instability die."
"Pazzah","Oathclock","Sul","Daybreak Magistrate","Schedule revelation over a chosen area for the turn allies plan to commit; expose illusions and hidden effects when the information can be acted on."
"Pazzah","Oathclock","Vel","Seasonkeeper","File a future extension of your own growth buffs; sequence the Ledger so protection remains active through a predicted enemy offensive."
"Pazzah","Oathclock","Luth","Tidekeeper","Schedule Breath restoration for a caster's planned expenditure; use the intervening turns to keep the recipient alive and in the support plan."
"Pazzah","Oathclock","Tham","Boundary Warden","Schedule cover to rise at a chosen position; maneuver enemies and allies before the deadline so the new barrier divides the fight in your favor."
"Pazzah","Oathclock","Vekh","Night Magistrate","Schedule concealment before a planned spell sequence; hide the party's casting signatures at the beat when the opponent most needs to read them."
"Pazzah","Oathclock","Mozh","Grave Assessor","File delayed decay against a durable target; spend the intervening turns denying safe positions so the target still matters when the sentence comes due."
"Pazzah","Oathclock","Khash","Ash Magistrate","Schedule ignition over a chosen area, then herd enemies toward it or withdraw allies; the visible deadline makes movement part of the attack."
"Pazzah","Oathclock","Zhem","Oathclock","File a suppression pulse for the turn an enemy setup becomes dangerous; cancel buffs and end Aftertones before they can deliver their planned payoff."
"Pazzah","Oathclock","Zhur","Storm Bailiff","Schedule a shock effect at a contested position; coordinate the party's advance with its arrival rather than chasing an immediate damage opportunity."
"Fickah","Locksmirk","Sul","False Witness","Reveal hidden preparations, identify the source, and Jam its pending action; specialize in disrupting plans the party could not otherwise read."
"Fickah","Locksmirk","Vel","Briar Knave","Use lasting personal growth buffs to survive near an important enemy; Jam its prepared action when it commits to contesting your position."
"Fickah","Locksmirk","Luth","Sluice Runner","Jam a threatening caster, then restore an ally's Breath during the opening; turn interrupted pressure into a chance to restart the party's spell sequence."
"Fickah","Locksmirk","Tham","Faultpick","Create cover that makes an enemy reposition or prepare a different attack; Jam the new commitment and exploit the time spent rebuilding its approach."
"Fickah","Locksmirk","Vekh","Locksmirk","Conceal your casting signatures while approaching an important caster; Jam its pending action and keep your follow-up difficult to read."
"Fickah","Locksmirk","Mozh","Rust Jack","Apply decay to wear down a defended position, then Jam the enemy's queued response; salvage available material into Breath to prolong the disruption."
"Fickah","Locksmirk","Khash","Fuse Thief","Jam the enemy's prepared answer before committing fire; consume an Aftertone for a burst during the opening and track the fuel you might ignite."
"Fickah","Locksmirk","Zhem","Hushjack","Jam unresolved actions and use silence against buffs already in place; distinguish stopping a future effect from removing one that has already begun."
"Fickah","Locksmirk","Zhur","Spark Knave","Use shock pressure to provoke an enemy commitment, then Jam its pending action; keep repositioning so its next attempt must solve a changed fight."
"Izhakel","Threadwalker","Sul","Witness Weaver","Bind a contract that reveals the target's hidden effects when it attacks; create a choice between restraint and surrendering information to the party."
"Izhakel","Threadwalker","Vel","Thorn Notary","Bind a territorial condition whose violation overgrows the target's position; use the threat of entanglement to protect a route or defended ally."
"Izhakel","Threadwalker","Luth","Undertow Binder","Bind an aggressor so violating the contract restores a named ally's Breath; the enemy must weigh its attack against replenishing your support."
"Izhakel","Threadwalker","Tham","Cairn Notary","Bind a boundary crossing to the creation of stone cover; force the target to respect the route or help raise the obstacle that divides its allies."
"Izhakel","Threadwalker","Vekh","Threadwalker","Bind a target's aggression to concealment of your next casting signatures; make attacking you create the obscured setup you wanted."
"Izhakel","Threadwalker","Mozh","Grave Notary","Bind a target so a chosen action applies decay; force it to choose between changing its behavior and accepting a longer attrition fight."
"Izhakel","Threadwalker","Khash","Ember Notary","Bind an enemy's next attack to ignition; place the contract where choosing aggression also risks nearby fuel and changes the surrounding terrain."
"Izhakel","Threadwalker","Zhem","Silent Signatory","Bind a target's next buffing action to the removal of an eligible existing buff or Aftertone; make strengthening its setup carry an explicit tradeoff."
"Izhakel","Threadwalker","Zhur","Storm Notary","Bind a movement or attack condition to shock; make the target choose between holding position, delaying aggression, or taking the storm's consequence."
